#,título,ano,direção,duração,nota_imdb,nota_letterboxd,gêneros,roteiro,elenco_principal,indicacoes,vitorias,venceu_melhor_filme
1,Anora,2024,Sean Baker,2h 19m,7.4,3.8,"Comédia, Drama, Romance",Sean Baker,"Mikey Madison, Mark Eydelshteyn, Yura Borisov, Paul Weissman, Karren Karagulian",6,5,True
2,A Complete Unknown,2024,James Mangold,2h 21m,7.3,3.6,"Biografia, Drama, Musical","James Mangold, Jay Cocks, Elijah Wald","Timothée Chalamet, Edward Norton, Monica Barbaro, Elle Fanning, Joe Tippett",8,0,False
3,Ainda Estou Aqui,2024,Walter Salles,2h 17m,8.2,4.3,"Biografia, Drama, História","Murilo Hauser, Heitor Lorega, Marcelo Rubens Paiva","Fernanda Torres, Fernanda Montenegro, Selton Mello, Valentina Herszage, Marjorie Estiano",3,1,False
4,Conclave,2024,Edward Berger,2h,7.4,3.9,"Drama, Suspense","Peter Straughan, Robert Harrisr","Ralph Fiennes, Stanley Tucci, John Lithgow, Isabella Rossellini, Carlos Diehz",8,1,False
5,Dune: Part Two,2024,Denis Villeneuve,2h 46m,8.5,4.4,"Aventura, Ação, Drama, Ficção científica","Denis Villeneuve, Jon Spaihts, Frank Herbert","Timothée Chalamet, Zendaya, Javier Bardem, Florence Pugh, Austin Butler",5,1,False
6,Emilia Pérez,2024,Jacques Audiard,2h 12m,5.4,2.0,"Drama, Musical, Policial, Suspense","Jacques Audiard, Thomas Bidegain, Léa Mysius","Zoe Saldaña, Karla Sofía Gascón, Selena Gomez, Adriana Paz, Edgar Ramírez",13,2,False
7,Nickel Boys,2024,RaMell Ross,2h 20m,6.9,4.0,Drama,"RaMell Ross, Joslyn Barnes, Colson Whitehead","Ethan Herisse, Brandon Wilson, Aunjanue Ellis-Taylor, Sam Malone, Najah Bradley",2,0,False
8,The Brutalist,2024,Brady Corbet,3h 36m,7.3,3.9,Drama,"Brady Corbet, Mona Fastvold","Adrien Brody, Felicity Jones, Guy Pearce, Joe Alwyn, Raffey Cassidy",10,3,False
9,The Substance,2024,Coralie Fargeat,2h 21m,7.2,3.8,"Drama, Ficção científica, Terror",Coralie Fargeat,"Demi Moore, Margaret Qualley, Dennis Quaid, Edward Hamilton-Clark, Gore Abrams",5,1,False
10,Wicked: Part I,2024,Jon M. Chu,2h 40m,7.4,3.8,"Fantasia, Musical, Romance","Winnie Holzman, Dana Fox, Gregory Maguire","Cynthia Erivo, Ariana Grande, Jeff Goldblum, Michelle Yeoh, Jonathan Bailey",10,2,False
11,Oppenheimer,2023,Christopher Nolan,3h,8.3,4.2,"Biografia, Drama, História","Christopher Nolan, Kai Bird, Martin Sherwin","Cillian Murphy, Emily Blunt, Matt Damon, Robert Downey Jr., Florence Pugh",12,7,True
12,American Fiction,2023,Cord Jefferson,1h 57m,7.5,3.7,"Comédia, Drama","Cord Jefferson, Percival Everett","Jeffrey Wright, Tracee Ellis Ross, Erika Alexander, Issa Rae, Sterling K. Brown",5,1,False
13,Anatomy of a Fall,2023,Justine Triet,2h 31m,7.6,4.1,Drama,"Justine Triet, Arthur Harari","Sandra Hüller, Swann Arlaud, Milo Machado-Graner, Antoine Reinartz, Samuel Theis",5,1,False
14,Barbie,2023,Greta Gerwig,1h 54m,6.8,3.7,"Aventura, Comédia, Fantasia","Greta Gerwig, Noah Baumbach","Margot Robbie, Ryan Gosling, America Ferrera, Will Ferrell, Kate McKinnon",8,1,False
15,Killers of the Flower Moon,2023,Martin Scorsese,3h 26m,7.6,4.0,"Drama, Faroeste, História, Policial","Martin Scorsese, Eric Roth, David Grann","Leonardo DiCaprio, Robert De Niro, Lily Gladstone, Jesse Plemons, Brendan Fraser",10,0,False
16,Maestro,2023,Bradley Cooper,2h 9m,6.5,3.1,"Biografia, Drama, História, Musical, Romance","Bradley Cooper, Josh Singer","Bradley Cooper, Carey Mulligan, Matt Bomer, Vincenzo Amato, Greg Hildreth",7,0,False
17,Past Lives,2023,Celine Song,1h 45m,7.8,4.2,"Drama, Romance",Celine Song,"Greta Lee, Teo Yoo, John Magaro, Moon Seung-ah, Leem Seung-min",2,0,False
18,Poor Things,2023,Yorgos Lanthimos,2h 21m,7.8,4.0,"Comédia, Drama, Ficção científica, Romance","Tony McNamara, Alasdair Gray","Emma Stone, Mark Ruffalo, Willem Dafoe, Margaret Qualley, Ramy Youssef",11,4,False
19,The Holdovers,2023,Alexander Payne,2h 13m,7.9,4.2,"Comédia, Drama",David Hemingson,"Paul Giamatti, Da'Vine Joy Randolph, Dominic Sessa, Carrie Preston, Brady Hepner",5,1,False
20,The Zone of Interest,2023,Jonathan Glazer,1h 45m,7.3,3.9,"Drama, Guerra, História","Jonathan Glazer, Martin Amis","Christian Friedel, Sandra Hüller, Johann Karthaus, Luis Noah Witte, Max Beck",5,2,False
21,Everything Everywhere All at Once,2022,"Daniel Kwan, Daniel Scheinert",2h 19m,7.8,4.3,"Aventura, Ação, Comédia, Drama, Fantasia, Ficção científica","Daniel Kwan, Daniel Scheinert","Michelle Yeoh, Stephanie Hsu, Jamie Lee Curtis, Ke Huy Quan, James Hong",11,7,True
22,All Quiet on the Western Front,2022,Edward Berger,2h 28m,7.8,4.0,"Ação, Drama, Guerra","Edward Berger, Lesley Paterson, Ian Stokell","Felix Kammerer, Albrecht Schuch, Aaron Hilmer, Moritz Klaus, Adrian Grünewald",9,4,False
23,Avatar: The Way of Water,2022,James Cameron,3h 12m,7.5,3.6,"Aventura, Ação, Fantasia, Ficção científica","James Cameron, Rick Jaffa, Amanda Silver","Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang, Kate Winslet",4,1,False
24,Elvis,2022,Baz Luhrmann,2h 39m,7.3,3.4,"Biografia, Drama, Musical","Baz Luhrmann, Sam Bromell, Craig Pearce","Tom Hanks, Austin Butler, Olivia DeJonge, Helen Thomson, Richard Roxburgh",8,0,False
25,The Banshees of Inisherin,2022,Martin McDonagh,1h 54m,7.7,4.1,"Comédia, Drama",Martin McDonagh,"Colin Farrell, Brendan Gleeson, Kerry Condon, Pat Shortt, Gary Lydon",9,0,False
26,The Fabelmans,2022,Steven Spielberg,2h 31m,7.5,4.0,Drama,"Steven Spielberg, Tony Kushner","Michelle Williams, Gabriel LaBelle, Paul Dano, Judd Hirsch, Seth Rogen",7,0,False
27,Top Gun: Maverick,2022,Joseph Kosinski,2h 10m,8.2,4.0,"Ação, Drama","Jim Cash, Jack Epps Jr., Peter Craig","Tom Cruise, Jennifer Connelly, Miles Teller, Val Kilmer, Bashir Salahuddin",6,1,False
28,Triangle of Sadness,2022,Ruben Östlund,2h 27m,7.2,3.7,"Comédia, Drama",Ruben Östlund,"Thobias Thorwid, Harris Dickinson, Charlbi Dean, Jiannis Moustos, Vicki Berlin",3,0,False
29,Tár,2022,Todd Field,2h 38m,7.4,3.9,"Drama, Musical",Todd Field,"Cate Blanchett, Noémie Merlant, Nina Hoss, Sophie Kauer, Adam Gopnik",6,0,False
30,Women Talking,2022,Sarah Polley,1h 44m,6.9,3.8,Drama,"Sarah Polley, Miriam Toews","Rooney Mara, Claire Foy, Jessie Buckley, Frances McDormand, Judith Ivey",2,1,False
31,CODA,2021,Sian Heder,1h 51m,8.0,3.9,"Comédia, Drama, Musical","Sian Heder, Victoria Bedos, Stanislas Carré de Malberg","Emilia Jones, Marlee Matlin, Troy Kotsur, Daniel Durant, John Fiore",3,3,True
32,Belfast,2021,Kenneth Branagh,1h 38m,7.2,3.5,"Biografia, Drama",Kenneth Branagh,"Jude Hill, Lewis McAskie, Caitríona Balfe, Jamie Dornan, Judi Dench",7,1,False
33,Don't Look Up,2021,Adam McKay,2h 18m,7.2,3.0,"Comédia, Drama, Ficção científica","Adam McKay, David Sirota","Leonardo DiCaprio, Jennifer Lawrence, Meryl Streep, Cate Blanchett, Rob Morgan",4,0,False
34,Drive My Car,2021,Ryûsuke Hamaguchi,2h 59m,7.5,4.2,Drama,"Haruki Murakami, Ryûsuke Hamaguchi, Takamasa Ôe","Hidetoshi Nishijima, Tôko Miura, Reika Kirishima, Masaki Okada, Park Yu-rim",4,1,False
35,Dune: Part One,2021,Denis Villeneuve,2h 35m,8.0,3.9,"Aventura, Ação, Drama, Ficção científica","Denis Villeneuve, Jon Spaihts, Eric Roth, Frank Herbert","Timothée Chalamet, Zendaya, Javier Bardem, Josh Brolin, Rebecca Ferguson",10,6,False
36,King Richard,2021,Reinaldo Marcus Green,2h 24m,7.5,3.7,"Biografia, Drama, Esportes",Zach Baylin,"Will Smith, Aunjanue Ellis-Taylor, Jon Bernthal, Saniyya Sidney, Demi Singleton",6,1,False
37,Licorice Pizza,2021,Paul Thomas Anderson,2h 13m,7.1,3.0,"Comédia, Drama, Romance",Paul Thomas Anderson,"Alana Haim, Cooper Hoffman, Sean Penn, Tom Waits, Bradley Cooper",3,0,False
38,Nightmare Alley,2021,Guillermo del Toro,2h 30m,7.0,3.4,"Drama, Policial, Suspense","Guillermo del Toro, Kim Morgan, William Lindsay Gresham","Bradley Cooper, Cate Blanchett, Toni Collette, Willem Dafoe, Rooney Mara",4,0,False
39,The Power of the Dog,2021,Jane Campion,2h 6m,6.8,3.7,"Drama, Faroeste","Jane Campion, Thomas Savage","Benedict Cumberbatch, Kirsten Dunst, Jesse Plemons, Kodi Smit-McPhee, Geneviève Lemon",12,1,False
40,West Side Story,2021,Steven Spielberg,2h 36m,7.2,3.6,"Crime, Drama, Musical","Tony Kushner, Arthur Laurents","Ansel Elgort, Rachel Zegler, Ariana DeBose, David Alvarez, Rita Moreno",7,1,False
41,Nomadland,2020,Chloé Zhao,1h 47m,7.3,3.8,Drama,"Chloé Zhao, Jessica Bruder","Frances McDormand, David Strathairn, Linda May, Gay DeForest, Patricia Grier",6,3,True
42,Judas and the Black Messiah,2021,Shaka King,2h 6m,7.4,4.0,"Biografia, Drama, História","Will Berson, Shaka King, Kenneth Lucas","LaKeith Stanfield, Daniel Kaluuya, Jesse Plemons, Dominique Fishback, Ashton Sanders",6,2,False
43,Mank,2020,David Fincher,2h 11m,6.8,3.3,"Biografia, Drama",Jack Fincher,"Gary Oldman, Amanda Seyfried, Lily Collins, Tom Pelphrey, Arliss Howard",10,2,False
44,Minari,2020,Lee Isaac Chung,1h 55m,7.4,4.1,Drama,Lee Isaac Chung,"Steven Yeun, Yeri Han, Alan Kim, Noel Cho, Darryl Cox",6,1,False
45,Promising Young Woman,2020,Emerald Fennell,1h 53m,7.5,3.7,"Drama, Mistério, Policial, Suspense",Emerald Fennell,"Carey Mulligan, Bo Burnham, Alison Brie, Clancy Brown, Adam Brody",5,1,False
46,Sound of Metal,2019,Darius Marder,2h,7.7,4.2,"Drama, Musical","Darius Marder, Abraham Marder, Derek Cianfrance","Riz Ahmed, Olivia Cooke, Paul Raci, Lauren Ridloff, Mathieu Amalric",6,2,False
47,The Father,2020,Florian Zeller,1h 37m,8.2,4.3,"Drama, Mistério","Christopher Hampton, Florian Zeller","Anthony Hopkins, Olivia Colman, Mark Gatiss, Olivia Williams, Imogen Poots",6,2,False
48,The Trial of the Chicago 7,2020,Aaron Sorkin,2h 9m,7.7,3.8,"Drama, História, Suspense",Aaron Sorkin,"Eddie Redmayne, Alex Sharp, Sacha Baron Cohen, Jeremy Strong, John Carroll Lynch",6,0,False
49,Parasite,2019,Bong Joon Ho,2h 12m,8.5,4.5,"Drama, Suspense","Bong Joon Ho, Han Jin-won","Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-sik, Park So-dam",6,4,True
50,1917,2019,Sam Mendes,1h 59m,8.2,4.1,"Ação, Drama, Guerra","Sam Mendes, Krysty Wilson-Cairns","Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth, Benedict Cumberbatch",10,3,False
51,Ford v Ferrari,2019,James Mangold,2h 32m,8.1,4.0,"Ação, Biografia, Drama, Esportes","Jez Butterworth, John-Henry Butterworth, Jason Keller","Matt Damon, Christian Bale, Jon Bernthal, Caitríona Balfe, Josh Lucas",4,2,False
52,Jojo Rabbit,2019,Taika Waititi,1h 48m,7.9,4.0,"Comédia, Drama, Guerra","Christine Leunens, Taika Waititi","Roman Griffin Davis, Thomasin McKenzie, Scarlett Johansson, Taika Waititi, Sam Rockwell",6,1,False
53,Joker,2019,Todd Phillips,2h 2m,8.3,3.8,"Drama, Policial, Suspense","Todd Phillips, Scott Silver, Bob Kane","Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen",11,2,False
54,Little Women,2019,Greta Gerwig,2h 15m,7.8,4.2,"Drama, Romance","Greta Gerwig, Louisa May Alcott","Saoirse Ronan, Emma Watson, Florence Pugh, Laura Dern, Timothée Chalamet",6,1,False
55,Marriage Story,2019,Noah Baumbach,2h 17m,7.9,4.0,"Drama, Romance",Noah Baumbach,"Adam Driver, Scarlett Johansson, Julia Greer, Azhy Robertson, Laura Dern",6,1,False
56,Once Upon a Time in... Hollywood,2019,Quentin Tarantino,2h 41m,7.6,3.8,"Comédia, Drama",Quentin Tarantino,"Leonardo DiCaprio, Brad Pitt, Margot Robbie, Emile Hirsch, Margaret Qualley",10,2,False
57,The Irishman,2019,Martin Scorsese,3h 29m,7.8,3.9,"Biografia, Drama, História, Policial, Suspense","Steven Zaillian, Charles Brandt","Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel, Ray Romano",10,0,False
58,Green Book,2018,Peter Farrelly,2h 10m,8.2,3.8,"Biografia, Comédia, Drama, Musical","Nick Vallelonga, Brian Hayes Currie, Peter Farrelly","Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco, Dimiter D. Marinov",5,3,True
59,A Star Is Born,2018,Bradley Cooper,2h 16m,7.6,3.6,"Drama, Música, Romance","Eric Roth, Bradley Cooper, Will Fetters","Lady Gaga, Bradley Cooper, Sam Elliott, Greg Grunberg, Andrew Dice Clay",8,1,False
60,BlacKkKlansman,2018,Spike Lee,2h 15m,7.5,3.9,"Biografia, Comédia, Drama, Policial","Charlie Wachtel, David Rabinowitz, Kevin Willmott","John David Washington, Adam Driver, Laura Harrier, Topher Grace, Alec Baldwin",6,1,False
61,Black Panther,2018,Ryan Coogler,2h 14m,7.3,3.7,"Aventura, Ação, Ficção científica","Ryan Coogler, Joe Robert Cole, Stan Lee","Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman",7,3,False
62,Bohemian Rhapsody,2018,Bryan Singer,2h 14m,7.9,3.5,"Biografia, Drama, Musical","Anthony McCarten, Peter Morgan","Rami Malek, Lucy Boynton, Gwilym Lee, Ben Hardy, Joseph Mazzello",5,4,False
63,Roma,2018,Alfonso Cuarón,2h 15m,7.6,4.1,Drama,Alfonso Cuarón,"Yalitza Aparicio, Marina de Tavira, Diego Cortina Autrey, Carlos Peralta, Marco Graf",10,3,False
64,The Favourite,2018,Yorgos Lanthimos,1h 59m,7.5,4.0,"Biografia, Comédia, Drama, História","Deborah Davis, Tony McNamara","Olivia Colman, Emma Stone, Rachel Weisz, Nicholas Hoult, Emma Delves",10,1,False
65,Vice,2018,Adam McKay,2h 12m,7.2,3.5,"Biografia, Comédia, Drama, História",Adam McKay,"Christian Bale, Amy Adams, Steve Carell, Sam Rockwell, Jesse Plemons",8,1,False
66,The Shape of Water,2017,Guillermo del Toro,2h 3m,7.3,3.7,"Drama, Fantasia, Ficção científica, Romance","Guillermo del Toro, Vanessa Taylor","Sally Hawkins, Octavia Spencer, Michael Shannon, Doug Jones, Richard Jenkins",13,4,True
67,Call Me by Your Name,2017,Luca Guadagnino,2h 12m,7.8,3.9,"Drama, Romance","James Ivory, André Aciman","Timothée Chalamet, Armie Hammer, Michael Stuhlbarg, Amira Casar, Esther Garrel",4,1,False
68,Darkest Hour,2017,Joe Wright,2h 5m,7.4,3.5,"Biografia, Drama, Guerra, História",Anthony McCarten,"Gary Oldman, Lily James, Kristin Scott Thomas, Ben Mendelsohn, Ronald Pickup",6,2,False
69,Dunkirk,2017,Christopher Nolan,1h 46m,7.8,3.8,"Ação, Drama, Guerra, História, Suspense",Christopher Nolan,"Fionn Whitehead, Barry Keoghan, Mark Rylance, Tom Hardy, Damien Bonnard",8,3,False
70,Get Out,2017,Jordan Peele,1h 44m,7.8,4.1,"Mistério, Suspense, Terror",Jordan Peele,"Daniel Kaluuya, Allison Williams, Bradley Whitford, Catherine Keener, Caleb Landry Jones",4,1,False
71,Lady Bird,2017,Greta Gerwig,1h 34m,7.4,3.8,"Comédia, Drama",Greta Gerwig,"Saoirse Ronan, Laurie Metcalf, Tracy Letts, Lucas Hedges, Timothée Chalamet",5,0,False
72,Phantom Thread,2017,Paul Thomas Anderson,2h 10m,7.4,4.2,"Drama, Romance",Paul Thomas Anderson,"Vicky Krieps, Daniel Day-Lewis, Lesley Manville, Julie Vollono, Sue Clark",6,1,False
73,The Post,2017,Steven Spielberg,1h 56m,7.2,3.5,"Biografia, Drama, Guerra, História, Suspense","Liz Hannah, Josh Singer","Meryl Streep, Tom Hanks, Sarah Paulson, Bob Odenkirk, Tracy Letts",2,0,False
74,"Three Billboards Outside Ebbing, Missouri",2017,Martin McDonagh,1h 55m,8.1,4.1,"Comédia, Drama, Policial",Martin McDonagh,"Frances McDormand, Woody Harrelson, Sam Rockwell, Caleb Landry Jones, Kerry Condon",7,2,False
75,Moonlight,2016,Barry Jenkins,1h 51m,7.4,4.2,Drama,"Barry Jenkins, Tarell Alvin McCraney","Mahershala Ali, Naomie Harris, Trevante Rhodes, Alex R. Hibbert, Shariff Earp",8,3,True
76,Arrival,2016,Denis Villeneuve,1h 56m,7.9,4.1,"Drama, Ficção científica, Mistério","Eric Heisserer, Ted Chiang","Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg, Mark O'Brien",8,1,False
77,Fences,2016,Denzel Washington,2h 19m,7.2,3.6,Drama,August Wilson,"Denzel Washington, Viola Davis, Stephen McKinley Henderson, Jovan Adepo, Russell Hornsby",4,1,False
78,Hacksaw Ridge,2016,Mel Gibson,2h 19m,8.1,4.0,"Biografia, Drama, Guerra, História","Robert Schenkkan, Andrew Knight","Andrew Garfield, Sam Worthington, Luke Bracey, Teresa Palmer, Richard Pyros",6,2,False
79,Hell or High Water,2016,David Mackenzie,1h 42m,7.6,3.9,"Drama, Faroeste, Policial, Suspense",Taylor Sheridan,"Chris Pine, Ben Foster, Jeff Bridges, Gil Birmingham, Dale Dickey",4,0,False
80,Hidden Figures,2016,Theodore Melfi,2h 7m,7.8,3.9,"Biografia, Drama, História","Allison Schroeder, Theodore Melfi, Margot Lee Shetterly","Taraji P. Henson, Octavia Spencer, Janelle Monáe, Kevin Costner, Kirsten Dunst",3,0,False
81,La La Land,2016,Damien Chazelle,2h 8m,8.0,4.1,"Comédia, Drama, Musical, Musical, Romance",Damien Chazelle,"Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons, Amiee Conn",14,6,False
82,Lion,2016,Garth Davis,1h 58m,8.0,3.9,"Biografia, Drama","Saroo Brierley, Luke Davies","Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar, Abhishek Bharate",6,0,False
83,Manchester by the Sea,2016,Kenneth Lonergan,2h 17m,7.8,4.1,Drama,Kenneth Lonergan,"Casey Affleck, Michelle Williams, Kyle Chandler, Lucas Hedges, Ivy O'Brien",6,2,False
84,Spotlight,2015,Tom McCarthy,2h 9m,8.1,4.1,"Biografia, Drama, Policial","Josh Singer, Tom McCarthy","Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber, Stanley Tucci",6,2,True
85,Bridge of Spies,2015,Steven Spielberg,2h 22m,7.6,3.6,"Drama, Guerra, História, Suspense","Matt Charman, Ethan Coen, Joel Coen","Tom Hanks, Mark Rylance, Alan Alda, Amy Ryan, Domenick Lombardozzi",6,1,False
86,Brooklyn,2015,John Crowley,1h 57m,7.5,3.8,"Drama, Romance","Nick Hornby, Colm Tóibín","Saoirse Ronan, Emory Cohen, Domhnall Gleeson, Jim Broadbent, Hugh Gormley",3,0,False
87,Mad Max: Fury Road,2015,George Miller,2h,8.1,4.2,"Aventura, Ação, Ficção científica","George Miller, Brendan McCarthy, Nick Lathouris","Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz, Hugh Keays-Byrne",11,6,False
88,Room,2015,Lenny Abrahamson,1h 58m,8.1,4.0,"Drama, Suspense",Emma Donoghue,"Brie Larson, Jacob Tremblay, Sean Bridgers, Wendy Crewson, Sandy McMaster",4,1,False
89,The Big Short,2015,Adam McKay,2h 10m,7.8,3.8,"Biografia, Comédia, Drama, História","Charles Randolph, Adam McKay, Michael Lewis","Christian Bale, Steve Carell, Ryan Gosling, Brad Pitt, Margot Robbie",5,1,False
90,The Martian,2015,Ridley Scott,2h 24m,8.0,3.8,"Aventura, Drama, Ficção científica","Drew Goddard, Andy Weir","Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara, Jeff Daniels",7,0,False
91,The Revenant,2015,Alejandro G. Iñárritu,2h 36m,8.0,3.9,"Aventura, Drama, Faroeste","Mark L. Smith, Alejandro G. Iñárritu, Michael Punke","Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson, Forrest Goodluck",12,3,False
92,Birdman or (The Unexpected Virtue of Ignorance),2014,Alejandro G. Iñárritu,1h 59m,7.7,4.0,"Comédia, Drama","Alejandro G. Iñárritu, Nicolás Giacobone, Alexander Dinelaris","Michael Keaton, Edward Norton, Andrea Riseborough, Emma Stone, Naomi Watts",9,4,True
93,American Sniper,2014,Clint Eastwood,2h 13m,7.3,3.4,"Ação, Biografia, Drama, Guerra","Jason Hall, Chris Kyle, Scott McEwen","Bradley Cooper, Sienna Miller, Kyle Gallner, Cole Konis, Ben Reed",6,1,False
94,Boyhood,2014,Richard Linklater,2h 45m,7.9,3.8,Drama,Richard Linklater,"Ellar Coltrane, Patricia Arquette, Ethan Hawke, Elijah Smith, Lorelei Linklater",6,1,False
95,Selma,2014,Ava DuVernay,2h 8m,7.5,3.8,"Biografia, Drama, História",Paul Webb,"David Oyelowo, Carmen Ejogo, Oprah Winfrey, Tom Wilkinson, Colman Domingo",2,1,False
96,The Grand Budapest Hotel,2014,Wes Anderson,1h 39m,8.1,4.2,"Comédia, Drama","Stefan Zweig, Wes Anderson, Hugo Guinness","Ralph Fiennes, Bill Murray, Edward Norton, Adrien Brody, Willem Dafoe",9,4,False
97,The Imitation Game,2014,Morten Tyldum,1h 54m,8.0,3.8,"Biografia, Drama, Guerra, Suspense","Graham Moore, Andrew Hodges","Benedict Cumberbatch, Keira Knightley, Matthew Goode, Allen Leech, Mark Strong",8,1,False
98,The Theory of Everything,2014,James Marsh,2h 3m,7.7,3.6,"Biografia, Drama, Romance","Anthony McCarten, Jane Hawking","Eddie Redmayne, Felicity Jones, Tom Prior, Sophie Perry, Emily Watson",5,1,False
99,Whiplash,2014,Damien Chazelle,1h 46m,8.5,4.4,"Drama, Musical",Damien Chazelle,"Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser, Austin Stowell",5,3,False
100,12 Years a Slave,2013,Steve McQueen,2h 14m,8.1,4.2,"Biografia, Drama, História","John Ridley, Solomon Northup","Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt, Lupita Nyong'o",9,3,True
101,American Hustle,2013,David O. Russell,2h 18m,7.2,3.3,"Drama, Policial","Eric Warren Singer, David O. Russell","Christian Bale, Amy Adams, Bradley Cooper, Jennifer Lawrence, Jeremy Renner",10,0,False
102,Captain Phillips,2013,Paul Greengrass,2h 14m,7.8,3.8,"Ação, Biografia, Drama, Policial, Suspense","Billy Ray, Richard Phillips, Stephan Talty","Tom Hanks, Barkhad Abdi, Barkhad Abdirahman, Catherine Keener, Faysal Ahmed",6,0,False
103,Dallas Buyers Club,2013,Jean-Marc Vallée,1h 57m,7.9,4.0,"Biografia, Drama","Craig Borten, Melisa Wallack","Matthew McConaughey, Jennifer Garner, Jared Leto, Steve Zahn, Denis O'Hare",6,3,False
104,Gravity,2013,Alfonso Cuarón,1h 31m,7.7,3.5,"Drama, Ficção científica, Suspense","Alfonso Cuarón, Jonás Cuarón","Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen, Phaldut Sharma",10,7,False
105,Her,2013,Spike Jonze,2h 6m,8.0,4.0,"Drama, Ficção científica, Romance",Spike Jonze,"Joaquin Phoenix, Amy Adams, Scarlett Johansson, Rooney Mara, Chris Pratt",5,1,False
106,Nebraska,2013,Alexander Payne,1h 55m,7.7,4.0,Drama,Bob Nelson,"Bruce Dern, Will Forte, June Squibb, Bob Odenkirk, Stacy Keach",6,0,False
107,Philomena,2013,Stephen Frears,1h 38m,7.6,3.7,"Biografia, Comédia, Drama","Steve Coogan, Jeff Pope, Martin Sixsmith","Judi Dench, Steve Coogan, Sophie Kennedy Clark, Mare Winningham, Barbara Jefford",4,0,False
108,The Wolf of Wall Street,2013,Martin Scorsese,3h,8.2,4.0,"Biografia, Comédia, Drama, Policial","Terence Winter, Jordan Belfort","Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey, Kyle Chandler",5,0,False
109,Argo,2012,Ben Affleck,2h,7.7,3.7,"Biografia, Drama, História, Suspense","Chris Terrio, Tony Mendez, Joshuah Bearman","Ben Affleck, Bryan Cranston, John Goodman, Alan Arkin, Victor Garber",7,3,True
110,Amour,2012,Michael Haneke,2h 7m,7.9,4.2,Drama,Michael Haneke,"Jean-Louis Trintignant, Emmanuelle Riva, Isabelle Huppert, Alexandre Tharaud, William Shimell",5,1,False
111,Beasts of the Southern Wild,2012,Benh Zeitlin,1h 33m,7.2,3.8,"Aventura, Drama, Fantasia","Lucy Alibar, Benh Zeitlin","Quvenzhané Wallis, Dwight Henry, Levy Easterly, Lowell Landes, Pamela Harper",4,0,False
112,Django Unchained,2012,Quentin Tarantino,2h 45m,8.5,4.3,"Drama, Faroeste",Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, Samuel L. Jackson",5,2,False
113,Les Misérables,2012,Tom Hooper,2h 38m,7.5,3.6,"Drama, Musical, Romance","William Nicholson, Alain Boublil, Claude-Michel Schönberg","Hugh Jackman, Russell Crowe, Anne Hathaway, Amanda Seyfried, Sacha Baron Cohen",8,3,False
114,Life of Pi,2012,Ang Lee,2h 7m,7.9,3.7,"Aventura, Drama, Fantasia","Yann Martel, David Magee","Suraj Sharma, Irrfan Khan, Adil Hussain, Tabu, Ayush Tandon",11,4,False
115,Lincoln,2012,Steven Spielberg,2h 30m,7.3,3.6,"Biografia, Drama, Guerra, História","Tony Kushner, Doris Kearns Goodwin","Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt, Tommy Lee Jones",12,2,False
116,Silver Linings Playbook,2012,David O. Russell,2h 2m,7.7,3.7,"Comédia, Drama, Romance","David O. Russell, Matthew Quick","Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver, Chris Tucker",8,1,False
117,Zero Dark Thirty,2012,Kathryn Bigelow,2h 37m,7.4,3.7,"Drama, História, Suspense",Mark Boal,"Jessica Chastain, Joel Edgerton, Chris Pratt, Mark Strong, Jason Clarke",5,1,False
118,The Artist,2011,Michel Hazanavicius,1h 40m,7.8,3.8,"Comédia, Drama, Romance",Michel Hazanavicius,"Jean Dujardin, Bérénice Bejo, John Goodman, James Cromwell, Penelope Ann Miller",10,5,True
119,Extremely Loud & Incredibly Close,2011,Stephen Daldry,2h 9m,6.9,3.1,"Aventura, Drama, Mistério","Eric Roth, Jonathan Safran Foer","Thomas Horn, Tom Hanks, Sandra Bullock, Max von Sydow, Zoe Caldwell",2,0,False
