#,título,ano,direção,duração,nota_imdb,nota_letterboxd,gêneros,roteiro,elenco_principal,indicacoes,vitorias,venceu_melhor_filme
402,The Bridge on the River Kwai,1957,David Lean,2h 41m,8.1,4.2,"Aventura, Drama, Guerra","Pierre Boulle, Carl Foreman, Michael Wilson","William Holden, Alec Guinness, Jack Hawkins, Sessue Hayakawa, James Donald",8,7,True
403,12 Angry Men,1957,Sidney Lumet,1h 36m,9.0,4.6,"Drama, Policial",Reginald Rose,"Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler, Jack Klugman",3,0,False
404,Peyton Place,1957,Mark Robson,2h 37m,7.2,3.5,"Drama, Mistério, Policial, Romance","John Michael Hayes, Grace Metalious","Lana Turner, Lee Philips, Lloyd Nolan, Arthur Kennedy, Russ Tamblyn",9,0,False
405,Sayonara,1957,Joshua Logan,2h 27m,7.0,3.3,"Drama, Romance","Paul Osborn, James A. Michener","Marlon Brando, Ricardo Montalban, Patricia Owens, Red Buttons, Miyoshi Umeki",10,4,False
406,Witness for the Prosecution,1957,Billy Wilder,1h 56m,8.4,4.4,"Drama, Mistério, Policial, Suspense","Agatha Christie, Billy Wilder, Harry Kurnitz","Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester, John Williams",6,0,False
407,Around the World in Eighty Days,1956,"Michael Anderson, John Farrow",2h 47m,6.7,3.1,"Aventura, Comédia, Família, Romance","James Poe, John Farrow, S.J. Perelman","David Niven, Cantinflas, Shirley MacLaine, Robert Newton, Finlay Currie",8,5,True
408,Friendly Persuasion,1956,William Wyler,2h 17m,7.3,3.4,"Drama, Família, Faroeste, Guerra, Romance","Michael Wilson, Dalton Trumbo","Gary Cooper, Dorothy McGuire, Anthony Perkins, Peter Mark Richman, Walter Catlett",6,0,False
409,Giant,1956,George Stevens,3h 21m,7.6,3.9,"Drama, Faroeste","Ivan Moffat, Fred Guiol, Edgar Nixon","Elizabeth Taylor, Rock Hudson, James Dean, Carroll Baker, Mercedes McCambridge",10,1,False
410,The King and I,1956,Walter Lang,2h 13m,7.4,3.5,"Biografia, Drama, Musical, Romance",Ernest Lehman,"Deborah Kerr, Yul Brynner, Rita Moreno, Martin Benson, Rex Thompson",9,5,False
411,The Ten Commandments,1956,Cecil B. DeMille,3h 40m,7.9,3.8,"Aventura, Drama, Família, História","Jesse Lasky Jr., Jack Gariss, Fredric M. Frank","Charlton Heston, Yul Brynner, Anne Baxter, Edward G. Robinson, Debra Paget",7,1,False
412,Marty,1955,Delbert Mann,1h 30m,7.6,3.9,"Drama, Romance",Paddy Chayefsky,"Ernest Borgnine, Betsy Blair, Esther Minciotti, Augusta Ciolli, Joe Mantell",8,4,True
413,Love Is a Many-Splendored Thing,1955,"Henry King, Otto Lang",1h 42m,6.4,3.1,"Biografia, Drama, Guerra, Romance","John Patrick, Han Suyin","William Holden, Jennifer Jones, Torin Thatcher, Isobel Elsom, Murray Matheson",8,3,False
414,Mister Roberts,1955,"John Ford, Mervyn LeRoy, Joshua Logan",2h 3m,7.6,3.6,"Comédia, Drama, Guerra","Frank Tarloff, John Monks Jr., Joshua Logan","Henry Fonda, James Cagney, William Powell, Jack Lemmon, Robert Walker",3,1,False
415,Picnic,1955,Joshua Logan,1h 55m,7.0,3.3,"Drama, Romance",Daniel Taradash,"William Holden, Kim Novak, Rosalind Russell, Cliff Robertson, Arthur O'Connell",6,2,False
416,The Rose Tattoo,1955,Daniel Mann,1h 57m,6.9,3.3,"Comédia, Drama, Romance","Tennessee Williams, Hal Kanter","Anna Magnani, Burt Lancaster, Marisa Pavan, Ben Cooper, Virginia Grey",8,3,False
417,On the Waterfront,1954,Elia Kazan,1h 48m,8.1,4.2,"Drama, Policial, Suspense","Budd Schulberg, Malcolm Johnson, Robert Siodmak","Marlon Brando, Karl Malden, Lee J. Cobb, Rod Steiger, Karl Maiden",12,8,True
418,Seven Brides for Seven Brothers,1954,Stanley Donen,1h 42m,7.3,3.5,"Comédia, Faroeste, Musical, Romance","Albert Hackett, Frances Goodrich, Dorothy Kingsley","Jane Powell, Howard Keel, Jeff Richards, Russ Tamblyn, Tommy Rall",5,1,False
419,The Caine Mutiny,1954,Edward Dmytryk,2h 4m,7.7,3.7,"Drama, Guerra",Stanley Roberts,"Humphrey Bogart, José Ferrer, Van Johnson, Fred MacMurray, Robert Francis",7,0,False
420,The Country Girl,1954,George Seaton,1h 44m,7.2,3.5,"Drama, Musical",George Seaton,"Bing Crosby, Grace Kelly, William Holden, Anthony Ross, Gene Reynolds",7,2,False
421,Three Coins in the Fountain,1954,Jean Negulesco,1h 42m,6.2,3.0,"Drama, Romance","John Patrick, John H. Secondari","Clifton Webb, Dorothy McGuire, Jean Peters, Louis Jourdan, Maggie McNamara",3,2,False
422,From Here to Eternity,1953,Fred Zinnemann,1h 58m,7.6,3.8,"Drama, Guerra, Romance","Daniel Taradash, James Jones","Burt Lancaster, Montgomery Clift, Deborah Kerr, Donna Reed, Frank Sinatra",13,8,True
423,Julius Caesar,1953,Joseph L. Mankiewicz,2h,7.2,3.6,"Drama, História","William Shakespeare, Joseph L. Mankiewicz","Louis Calhern, Marlon Brando, James Mason, John Gielgud, Edmond O'Brien",5,1,False
424,Roman Holiday,1953,William Wyler,1h 58m,8.0,4.2,"Comédia, Drama, Romance","Dalton Trumbo, Ian McLellan Hunter, John Dighton","Gregory Peck, Audrey Hepburn, Eddie Albert, Hartley Power, Harcourt Williams",10,3,False
425,Shane,1953,George Stevens,1h 58m,7.6,3.7,"Drama, Faroeste","A.B. Guthrie Jr., Jack Sher, Jack Schaefer","Alan Ladd, Jean Arthur, Van Heflin, Brandon De Wilde, Jack Palance",6,1,False
426,The Robe,1953,Henry Koster,2h 15m,6.7,3.2,"Drama, História, Romance","Philip Dunne, Gina Kaus, Lloyd C. Douglas","Richard Burton, Jean Simmons, Victor Mature, Michael Rennie, Jay Robinson",5,2,False
427,The Greatest Show on Earth,1952,Cecil B. DeMille,2h 32m,6.5,2.9,"Drama, Família, Romance","Fredric M. Frank, Theodore St. John","Charlton Heston, Betty Hutton, James Stewart, Cornel Wilde, Gloria Grahame",5,2,True
428,High Noon,1952,Fred Zinnemann,1h 25m,7.9,4.0,"Drama, Faroeste, Suspense",Carl Foreman,"Gary Cooper, Grace Kelly, Thomas Mitchell, Lloyd Bridges, Katy Jurado",7,4,False
429,Ivanhoe,1952,Richard Thorpe,1h 46m,6.7,3.3,"Aventura, Ação, Drama, Romance","Noel Langley, Æneas MacKenzie, Marguerite Roberts","Robert Taylor, Elizabeth Taylor, Joan Fontaine, George Sanders, Emlyn Williams",3,0,False
430,Moulin Rouge,1952,John Huston,1h 59m,7.0,3.3,"Biografia, Drama, Musical, Romance","John Huston, Anthony Veiller","José Ferrer, Zsa Zsa Gabor, Michael Garey, Philip Bourneuf, Colette Marchand",7,2,False
431,The Quiet Man,1952,John Ford,2h 9m,7.7,3.8,"Comédia, Drama, Romance",Frank S. Nugent,"John Wayne, Maureen O'Hara, Barry Fitzgerald, Ward Bond, Victor McLaglen",7,2,False
432,An American in Paris,1951,Vincente Minnelli,1h 54m,7.1,3.7,"Drama, Musical, Romance",Alan Jay Lerner,"Gene Kelly, Leslie Caron, Oscar Levant, Georges Guétary, Nina Foch",8,6,True
433,A Place in the Sun,1951,George Stevens,2h 2m,7.7,3.9,"Drama, Romance","Michael Wilson, Harry Brown","Montgomery Clift, Elizabeth Taylor, Shelley Winters, Anne Revere, Keefe Brasselle",9,6,False
434,A Streetcar Named Desire,1951,Elia Kazan,2h 2m,7.9,4.0,Drama,"Tennessee Williams, Oscar Saul","Vivien Leigh, Marlon Brando, Kim Hunter, Karl Malden, Rudy Bond",12,4,False
435,Decision Before Dawn,1951,Anatole Litvak,1h 59m,7.2,3.5,"Drama, Guerra","Anatole Litvak, Michael Wilson","Richard Basehart, Oskar Werner, Richard Krauss, Peter van Eyck, Hildegard Knef",2,0,False
436,Quo Vadis,1951,"Mervyn LeRoy, Anthony Mann",2h 51m,7.1,3.4,"Drama, Romance","John Lee Mahin, S.N. Behrman, Sonya Levien","Robert Taylor, Deborah Kerr, Leo Genn, Peter Ustinov, Finlay Currie",8,0,False
437,All About Eve,1950,Joseph L. Mankiewicz,2h 18m,8.2,4.4,Drama,"Joseph L. Mankiewicz, Mary Orr","Bette Davis, Anne Baxter, George Sanders, Celeste Holm, Thelma Ritter",14,6,True
438,Born Yesterday,1950,George Cukor,1h 43m,7.5,3.7,"Comédia, Drama, Romance",Albert Mannheimer,"Judy Holliday, Broderick Crawford, William Holden, Howard St. John, Paul Douglas",5,1,False
439,Father of the Bride,1950,Vincente Minnelli,1h 32m,7.1,3.5,"Comédia, Drama, Romance","Frances Goodrich, Albert Hackett","Spencer Tracy, Elizabeth Taylor, Joan Bennett, Don Taylor, Billie Burke",3,0,False
